,Issuing Agent,PolicyNum,Product Code,Count_Policy,Base/Rider
1477,60072421,80132516,URA5,1,Rider
1478,60072421,80132516,URC5,1,Rider
1479,60075545,80132461,RHB1,1,Rider
1480,60075545,80132461,UL05,1,Base
1481,60075545,80132461,URA5,1,Rider
1482,60075545,80132461,URC5,1,Rider
1483,60075545,80132461,RHS1,1,Rider
1484,60075545,80132461,URT5,1,Rider
1485,60052986,80132958,URC6,1,Rider
1486,60052986,80132958,URC5,1,Rider
1487,60052986,80132958,RHB1,1,Rider
1488,60052986,80132958,URA5,1,Rider
1489,60052986,80132958,UL05,1,Base
1490,60052995,80132971,URC8,1,Rider
1491,60052995,80132971,UL83,1,Base
1492,60052995,80132971,URL8,1,Rider
1493,60052995,80132971,URA8,1,Rider
1494,60075730,80131467,URC6,1,Rider
1495,60075730,80131467,URC5,1,Rider
1496,60075730,80131467,UL05,1,Base
1497,60075730,80131467,RHB1,1,Rider
1498,60075730,80131467,URA5,1,Rider
1499,60071856,80131859,URA5,1,Rider
1500,60071856,80131859,RHB1,1,Rider
1501,60071856,80131859,UL05,1,Base
1502,60059355,80131456,URA5,1,Rider
1503,60059355,80131456,UL05,1,Base
1504,60059355,80131456,URC5,1,Rider
1505,60056240,80131741,URC5,1,Rider
1506,60056240,80131741,URT5,1,Rider
1507,60056240,80131741,UL05,1,Base
1508,60056240,80131741,RHS1,1,Rider
1509,60056240,80131741,RHB1,1,Rider
1510,60056240,80131741,URA5,1,Rider
1511,60056240,80131741,URC6,1,Rider
1512,60074919,80131776,RHB1,1,Rider
1513,60074919,80131776,UL05,1,Base
1514,60075268,80131749,UL06,1,Base
1515,60072049,80132147,URC5,1,Rider
1516,60072049,80132147,URA5,1,Rider
1517,60072049,80132147,UL05,1,Base
1518,60067413,80132329,UL05,1,Base
1519,60076059,80132531,RHS1,1,Rider
1520,60076059,80132531,URC6,1,Rider
1521,60076059,80132531,UL06,1,Base
1522,60076059,80132531,RHB1,1,Rider
1523,60073399,80132282,UL05,1,Base
1524,60067636,80132510,URA5,1,Rider
1525,60067636,80132510,UL05,1,Base
1526,60067636,80132510,RHS1,1,Rider
1527,60067636,80132510,URC5,1,Rider
1528,60057169,80132390,URA5,1,Rider
1529,60057169,80132390,UL06,1,Base
1530,60074543,80133012,RHS1,1,Rider
1531,60074543,80133012,UL05,1,Base
1532,60074543,80133012,URA5,1,Rider
1533,60074543,80133012,RHB1,1,Rider
1534,60074543,80133012,URC5,1,Rider
1535,60074543,80133012,URC6,1,Rider
1536,60071341,80132846,RHB1,1,Rider
1537,60071341,80132846,URA5,1,Rider
1538,60071341,80132846,UL05,1,Base
1539,60071341,80132846,URC6,1,Rider
1540,60071341,80132846,URC5,1,Rider
1541,60074534,80131508,UL05,1,Base
1542,60074534,80131508,URA5,1,Rider
1543,60074534,80131508,URC5,1,Rider
1544,60075926,80132215,UL05,1,Base
1545,60075926,80132215,URW5,1,Rider
1546,60075926,80132215,RHB1,1,Rider
1547,60075926,80132215,URC5,1,Rider
1548,60075926,80132215,URA5,1,Rider
1549,60071995,80132174,TL01,1,Base
1550,60076141,80133063,UL05,1,Base
1551,60076141,80133063,URA5,1,Rider
1552,60031631,80131599,UL05,1,Base
1553,60031631,80131599,RHB1,1,Rider
1554,60031631,80131599,URA5,1,Rider
1555,60031631,80131599,URC5,1,Rider
1556,60031631,80131599,RHS1,1,Rider
1557,60075704,80131451,RHS1,1,Rider
1558,60075704,80131451,URC5,1,Rider
1559,60075704,80131451,UL05,1,Base
1560,60075704,80131451,URA5,1,Rider
1561,60075704,80131451,RHB1,1,Rider
1562,60075465,80132228,URA5,1,Rider
1563,60075465,80132228,URC5,1,Rider
1564,60075465,80132228,UL06,1,Base
1565,60074450,80131457,URC5,1,Rider
1566,60074450,80131457,UL05,1,Base
1567,60074450,80131457,URA5,1,Rider
1568,60074450,80131457,RHB1,1,Rider
1569,60070023,80132924,RHS1,1,Rider
1570,60070023,80132924,URC5,1,Rider
1571,60070023,80132924,URA5,1,Rider
1572,60070023,80132924,UL06,1,Base
1573,60070023,80132924,RHB1,1,Rider
1574,60075688,80131682,UL05,1,Base
1575,60075688,80131682,RHB1,1,Rider
1576,60075688,80131682,URC5,1,Rider
1577,60075818,80131696,UL05,1,Base
1578,60075818,80131696,RHS1,1,Rider
1579,60075818,80131696,RHB1,1,Rider
1580,60075317,80131771,TL01,1,Base
1581,60075460,80131543,UL05,1,Base
1582,60071866,80132324,UL05,1,Base
1583,60075951,80132574,UL05,1,Base
1584,60075951,80132574,URC6,1,Rider
1585,60075951,80132574,RHB1,1,Rider
1586,60067560,80132097,UL05,1,Base
1587,60075239,80132599,UL05,1,Base
1588,60075421,80132881,URC5,1,Rider
1589,60075421,80132881,UL05,1,Base
1590,60075421,80132881,URA5,1,Rider
1591,60075421,80132881,RHB1,1,Rider
1592,60072386,80131581,TL01,1,Base
1593,60047405,80131617,URT5,1,Rider
1594,60047405,80131617,URC5,1,Rider
1595,60047405,80131617,URC6,1,Rider
1596,60047405,80131617,RHB1,1,Rider
1597,60047405,80131617,RHS1,1,Rider
1598,60047405,80131617,UL05,1,Base
1599,60047405,80131617,URA5,1,Rider
1600,60068274,80131602,UL05,1,Base
1601,60068274,80131602,URA5,1,Rider
